Timestamp,1. What is your primary role?,2. How large is your engineering team?,3. How long have you been using OpenTelemetry?,4. How long have you been using Prometheus?,5. Do you currently use OpenTelemetry and Prometheus together? ,6. How satisfied are you with the current integration between OpenTelemetry resource attributes and Prometheus?,"7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Difficulty querying metrics based on resource attributes]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Label cardinality issues]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Creating complex PromQL queries to work around resource attribute limitations]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Documentation gaps]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Performance concerns]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Hitting label limits in Prometheus due to resource attributes]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Memory usage increase when changing the list of promoted resource attributes.]","7. Rate the following challenges when working with OpenTelemetry resource attributes in Prometheus

Not challenging – It works as expected and is easy to use.
Slightly challenging – It requires extra effort, causes occasional confusion or slowdowns.
Very challenging – It frequently causes frustration, slows down your workflow, or requires significant workarounds.
Not applicable – I haven’t encountered this, or it doesn’t apply to my setup/workflow. [Unable to find a metric because of resource attribute conversion issues]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Ability to filter queries using resource attributes.]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Ability to aggregate metrics based on resource attributes.]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Clear documentation on how resource attributes map to labels]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Consistent naming between OpenTelemetry resource attributes and Prometheus labels]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Ability to use resource attributes to navigate and explore existing metrics.]","8. How important are the following features for your workflow?

Not important – I don’t need or use this at all.
Slightly important – Occasionally useful, but not essential.
Very important – Frequently needed and valuable in your workflow.
Not applicable – It doesn’t apply to my setup/workflow. [Ability to choose which resource attributes are stored/discarded during ingestion]","9. If you could redesign from scratch how OpenTelemetry resource attributes work with Prometheus, how would you do it?",10. How do you expect resource attributes to be represented in Prometheus?,11. For what purposes do you typically use resource attributes in your queries?,12. Is there anything else you'd like to share about your experience with OpenTelemetry resource attributes and Prometheus?,
2025/05/02 2:48:54 PM GMT+1,Software Engineer,1-10 engineers,I don't use OpenTelemetry,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/02 3:19:18 PM GMT+1,Backend Engineer,1-10 engineers,Less than 6 months,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/02 5:16:50 PM GMT+1,DevOps Engineer,1-10 engineers,I don't use OpenTelemetry,Less than 6 months,No,,,,,,,,,,,,,,,,,,,,
2025/05/02 6:52:48 PM GMT+1,DevOps Engineer,11-50 engineers,Less than 6 months,1-2 years,No,,,,,,,,,,,,,,,,,,,,
2025/05/02 10:13:59 PM GMT+1,Software Engineer,1-10 engineers,6-12 months,2+ years,"Yes, I use both OpenTelemetry and Prometheus",3,Slightly challenging,Not applicable,Not applicable,Slightly challenging,Not applicable,Not applicable,Not applicable,Slightly challenging,Very important,Very important,Slightly important,Slightly important,Not applicable,Slightly important,Don't know,Don't know,"We have metrics for e.g. number of requests. We'd like to break that down by service, status code etc.",,
2025/05/03 3:45:12 AM GMT+1,Site Reliability Engineer,1-10 engineers,I don't use OpenTelemetry,6-12 months,"Yes, I use both OpenTelemetry and Prometheus",1,Not challenging,Not challenging,Not challenging,Not challenging,Not challenging,Not challenging,Not challenging,Not challenging,Not important,Not important,Not important,Not important,Not important,Not important,لا,حيدر ,"curl ""https://api.cloudflare.com/client/v4/accounts/{account_id}/alerting/v3/history?page=1&per_page=25"" \
--header ""Authorization: Bearer <API_TOKEN>""",https://api.cloudflare.com/client/v4/accounts/{account_id}/alerting/v3/history?page=1&per_page=25,
2025/05/03 8:19:31 PM GMT+1,DevOps Engineer,1-10 engineers,2+ years,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/03 9:55:36 PM GMT+1,System Administrator,51-200 engineers,2+ years,2+ years,"Yes, I use both OpenTelemetry and Prometheus",2,Very challenging,Not applicable,Slightly challenging,Very challenging,Very challenging,Not applicable,Slightly challenging,Very challenging,Very important,Very important,Very important,Very important,Very important,Very important,N/A,Part of the metric,filter and aggregation,"The solution seems half-backed, so we have enabled and disabled it with each Prometheus release.",
2025/05/05 3:15:17 AM GMT+1,Site Reliability Engineer,51-200 engineers,I don't use OpenTelemetry,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/05 8:07:35 AM GMT+1,DevOps Engineer,1-10 engineers,2+ years,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/05 11:15:34 AM GMT+1,Site Reliability Engineer,51-200 engineers,Less than 6 months,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/05 1:14:39 PM GMT+1,DevOps Engineer,11-50 engineers,1-2 years,1-2 years,No,,,,,,,,,,,,,,,,,,,,
2025/05/05 2:05:22 PM GMT+1,System Administrator,1-10 engineers,6-12 months,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/05 9:49:09 PM GMT+1,Platform Engineer,1-10 engineers,I don't use OpenTelemetry,Less than 6 months,No,,,,,,,,,,,,,,,,,,,,
2025/05/06 12:53:21 AM GMT+1,Site Reliability Engineer,1000+ engineers,1-2 years,2+ years,No,,,,,,,,,,,,,,,,,,,,
2025/05/06 6:47:40 AM GMT+1,Site Reliability Engineer,1000+ engineers,2+ years,2+ years,"Yes, I use both OpenTelemetry and Prometheus",2,Very challenging,Slightly challenging,Not applicable,Slightly challenging,Not challenging,Not challenging,Not challenging,Very challenging,Very important,Very important,Very important,Very important,Very important,Very important,"I don't have a pressing issue with it currently, I believe ecosystem support is lacking.",As labels,To filter metrics to specific services or pods.,,
2025/05/06 8:25:34 AM GMT+1,Platform Engineer,501-1000 engineers,2+ years,2+ years,"Yes, I use both OpenTelemetry and Prometheus",2,Not applicable,Very challenging,Not applicable,Not applicable,Not applicable,Slightly challenging,Not applicable,Very challenging,Very important,Slightly important,Very important,Very important,Very important,Slightly important,"We are still translating metrics to Prom format using the Collector, so this is not applicable to me yet.","I'm fine with them ""looking like"" labels.",Improving query performance and accuracy as I look for metrics specific to a team or app in a fleet of services.,I'd love the Prometheus community to take a larger role in improving the various Prometheus exporters in the Otel Collector.,
2025/05/06 9:29:59 AM GMT+1,Software Engineer,11-50 engineers,1-2 years,2+ years,"Yes, I use both OpenTelemetry and Prometheus",3,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Slightly challenging,Very important,Very important,Very important,Very important,Very important,Not important,Separate resource attributes from labels. Adhere to OTel's naming conventions.,Cannot say,"Filtering metrics by host name, deployment environment and service name",,
